organization,product,address,telephone,category,decision_number,decision_date,permit_place,operational_date,description,status,barcode,email,website
PT Maju Jaya Valasindo,,"P Sudirman 30, Bangkalan Jatim",,Non Bank Money Changer Operators,17/13/KEP.GBI/Sb/2015,12/22/2015,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0992.001/0046,,
PT Prasarana Makmur Valasindo,,"The Hotel Jayakarta Bali, Jl. Werkudara, Badung, Bali",,Non Bank Money Changer Operators,17/431/KPwBI Provinsi DKI Jakarta/PISP/Dpr,12/21/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0470.023/0082,,
PT Pradnyana Artha Mandiri,,"The Hotel Jayakarta Bali, Jl. Werkudara Legian Kuta Kab. Badung",,Non Bank Money Changer Operators,17/431/KPwBI Provinsi DKI Jakarta/PISP/Dpr,12/21/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0099.011/0011,,
PT Pradnyana Artha Mandiri,,"The Stones Hotel Bali, Jl. Pantai Kuta Br. Legian Kelod Kuta Kab. Badung, Bali",,Non Bank Money Changer Operators,17/433/KPwBI Provinsi DKI Jakarta/PISP/Dpr,12/21/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0099.010/0011,,
PT Prasarana Makmur Valasindo,,"Hard Rock Bali Hotel, Jl. Pantai Br.Pande, Badung, Bali",,Non Bank Money Changer Operators,17/432/KPwBI Provinsi DKI Jakarta/PISP/Dpr,12/21/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0470.022/0082,,
PT Pradnyana Artha Mandiri,,"Hard Rock Bali Hotel, Jl. Pantai Br.Pande Mas Kuta Kab. Badung",,Non Bank Money Changer Operators,17/432/KPwBI Provinsi DKI Jakarta/PISP/Dpr,12/21/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0099.012/0011,,
PT One Money Changer,,"Jl. Raya Petitenget No.123, Badung, Bali",,Non Bank Money Changer Operators,17/17/KEP.GBI/Dpr/2015,12/14/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0990.001/0132,,
PT Mujizat Bekerja Selalu,,"Jl. Raya Kerobokan No.72, Badung, Bali",,Non Bank Money Changer Operators,17/16/KEP.GBI/Dpr/2015,12/14/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0989.001/0131,,
PT Willim Mandiri Sejahtera,,"Komplek Bumi Indah  Blok A No. 05, Batam",,Payment Service Provider - License Category 3,17/191/Btm/72,12/10/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0046,,
PT Bahagia,,"Jl. Raya Cilamaya No. 1 RT.04 RW.04, Kampung Krajan, Desa Cilamaya, Kec. Cilamaya Wetan, Karawang",,Non Bank Money Changer Operators,17/50/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,12/7/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0956.001/0373,,
PT Mandala Indo Valas,,"Nirwana Resort Hotel Jl. Panglima Patar, Laoi-Bintan Utara",,Non Bank Money Changer Operators,17/171/KPwBI Provinsi DKI Jakarta/GPSP/P3PVA/Btm,12/2/2015,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0991.002/0137,,
PT Cili Bali Lestari,,"Four Season Bali At Jimbaran, Kawasan Bukit Permai Jimbaran, Badung, Bali",,Non Bank Money Changer Operators,17/402/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/30/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0922.004/0119,,
PT Chandra Nuansa Mandiri,,"Hotel The Seminyak Beach Resort-Seminyak, Jl. Kayu Aya Seminyak Kab. Badung, Bali",,Non Bank Money Changer Operators,17/400/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/30/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.037/0025,,
PT Chandra Nuansa Mandiri,,"Hotel Ayodya Resort Nusa Dua, Jl. Pantai Mengiat PO Box 46 Nusa Dua, Kab. Badung, Bali",,Non Bank Money Changer Operators,17/401/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/30/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.038/0025,,
PT Crown Jewellery Istana,,"JL BASUKI RAHMAD 8-12, TUNJUNGAN PLAZA 1 LT 1 NO.40-41, Surabaya",,Non Bank Money Changer Operators,17/11/KEP.GBI/Sb/2015,11/27/2015,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0985.001/0043,,
PT Wawan Artha Jaya,,"Ruko Permata Regency Blok A no 07 RT 07 RW 03, Tasikmalaya",,Non Bank Money Changer Operators,17/5/KPwBI Provinsi DKI Jakarta/GPSP/P3PVA,11/26/2015,KPwBI Purwokerto,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0547.003/0003,,
PT Sesari Valuta Asing,,"Jl. Kayu Aya No.88 Lingkungan Basangkasa Seminyak, Badung, Bali",,Non Bank Money Changer Operators,17/15/KEP.GBI/Dpr/2015,11/20/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0984.001/0130,,
PT Global Artha Jaya,,"Mall Baywalk Lt. LGM Unit T-09, Jl. Pluit Karang Ayu Blok B1 Utara, RT.020/RW.002, Kel. Pluit, Kec. Penjaringan, Jakarta Utara",,Non Bank Money Changer Operators,17/351/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,11/18/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0692.002/0255,,
PT Chandra Nuansa Mandiri,,"Hotel The Mercure Bali Legian No.328 Legian Kelod Kab. Badung, Bali",,Non Bank Money Changer Operators,17/384/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/17/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.034/0025,,
PT Chandra Nuansa Mandiri,,"Hotel Harris Bukit Jimbaran, Jl. Raya Uluwatu No.2000X Ungasan Kab. Badung, Bali",,Non Bank Money Changer Operators,17/385/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/17/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.035/0025,,
PT Chandra Nuansa Mandiri,,"Hotel The Samaya Seminyak, Jl. Laksamana Seminyak Kab. Badung, Bali",,Non Bank Money Changer Operators,17/383/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/16/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.033/0025,,
PT Chandra Nuansa Mandiri,,"Hotel The Mansion Baliwood Resort - Ubud, Jl. Penestanan 8-9 Kutuh Sayan, Ubud Kab. Gianyar, Bali",,Non Bank Money Changer Operators,17/382/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/16/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.032/0025,,
PT Global Saliartha Intivaluta,,"Wijaya Grand Center Blok D No. 3, Jl. Wijaya II, Pulo, Kebayoran Baru, Jakarta Selatan",,Non Bank Money Changer Operators,17/48/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,11/16/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0951.001/0371,,
PT Homeeah Valas Inti,,"Rukan Sedayu Business Park RKG 03 No. 16, Gerbang Taman Palem Lestari, Jl. Outher Ring Road RT/RW.000/00, Kel. Cengkareng Barat, Kec. Cengkareng, Jakarta Barat",,Non Bank Money Changer Operators,17/49/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,11/16/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0955.001/0372,,
PT Semangat Anak Rantau,,"Jl. Raya Batu Bolong Br. Pipitan, Ds Canggu, Kec. Kuta Utara Kab. Badung (Coco Mart Batu Bolong)",,Non Bank Money Changer Operators,17/376/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/16/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0977.006/0007,,
PT Semangat Anak Rantau,,"Jl. Camplung Tanduk Ling. Seminyak , Badung, Bali",,Non Bank Money Changer Operators,17/375/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/16/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0977.005/0007,,
PT Prasarana Makmur Valasindo,,"Jl. Werkudara Legian Kaja Kel.Legian Kab.Badung, Bali",,Non Bank Money Changer Operators,17/382/KPwBI Provinsi DKI Jakarta/PISP/Dpr,11/16/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0470.021/0082,,
PT Nusa Jaya Mandiri Valasindo,,Plaza Fanindo Blok A1 No. 5,,Non Bank Money Changer Operators,17/152/KPwBI Provinsi DKI Jakarta/GPSP/P3PVA/Btm,11/16/2015,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0856.002/0120,,
PT Jaya Valuta Mas,,"Seasons City Trade Mall Unit S/LGF Blok A-09, Jembatan Besi, Tambora, Jakarta Barat",,Non Bank Money Changer Operators,17/44/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,11/11/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0940.001/0369,,
PT Abellux Money Exchange,,"Gedung Equity Tower Lt. LG Unit F, SCBD, Jl. Jend. Sudirman Kav. 52-53, Kel. Senayan, Kec. Kebayoran Baru, Jakarta Selatan",,Non Bank Money Changer Operators,17/342/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,11/10/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0847.002/0328,,
PT Binavalasindo Dolarasia Sejahtera Utama,,"Jl. Raya Puncak RT.03/RW.14, Desa Tugu Selatan, Kec. Cisarua, Kab. Bogor",,Non Bank Money Changer Operators,16/441/KPwBI Provinsi DKI Jakarta/GPSP/P3PVA,11/5/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0746.020/0272,,
PT Sentravalas Jaya Abadi,,"Ruko Lantai 2, Jl. Raya Ragunan No. 10, RT.009/RW.10, Kel. Pasar Minggu, Kec. Pasar Minggu, Jakarta Selatan",,Non Bank Money Changer Operators,17/333/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,10/27/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0749.002/0275,,
PT Binavalasindo Dolarasia Sejahtera Utama,,"Jl. Raya Tuban No. 1, RT.00/RW.00, Kel. Badung, Kec. Kuta, Kab. Badung, Bali",,Non Bank Money Changer Operators,17/331/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,10/27/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0746.025/0272,,
PT Badjo Artha Niaga,,"Jl. Soekarno Hatta RT 010/RW 005 (Hotel Greenhill Butik) Kec.Komodo, Labuan Bajo",,Non Bank Money Changer Operators,17/12/KEP.GBI/KPA/2015,10/27/2015,KPwBI Provinsi Nusa Tenggara Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1294.001/0007,,
PT Chandra Nuansa Mandiri,,"The Oberoi Bali - Seminyak, Jl. Kayu Aya Seminyak Kab. Badung, Bali",,Non Bank Money Changer Operators,17/347/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/26/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.031/0025,,
PT Sejati Indo Valuta,,"Jl. Pantai Berawa, Br.Pelambingan No.11 Tibubeneng , ",,Non Bank Money Changer Operators,17/341/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/26/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0953.002/0125,,
PT Rama Rajasa,,"The Westin Resort Nusa Dua,Kawasan BTDC Lot N-3 Nusa Dua 80363 Po Box 36, Nusa Dua, Badung, Bali",,Non Bank Money Changer Operators,17/344/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/26/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0012.005/0002,,
PT Wahana Khrisna Dana,,"The Magani Hotel & Spa, Jl. Melasti Legian Kelod, Badung, Bali",,Non Bank Money Changer Operators,17/343/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/26/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0268.007/0041,,
PT Nusa Satu Inti Artha ,DokuPay,"Menara Mulia Lantai 8, Jl. Jend. Gatot Subroto Kav. 9-11, Jakarta 12930",1500963,QRIS,22/171/DKSP/Srt/B,10/26/2015,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,care@doku.com,https://www.doku.com/qris
PT Jpg Valasindo Mandiri,,"Jl. Niaga Utara Kav.1-2, Jababeka II, Desa Mekarmukti, Kec. Cikarang Utara, Bekasi",,Non Bank Money Changer Operators,17/42/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,10/22/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0935.001/0367,,
PT Harvestama Valuta Sejahtera,,"Griya D'Ros, Jl. KH. Abdullah Syafei No. 1, Kel. Tebet Timur, Kec. Tebet, Jakarta Selatan",,Non Bank Money Changer Operators,17/40/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,10/20/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0933.001/0365,,
PT Rambuti Valuta Asing,,Jl. Minangkabau No. 38 Kel. Benteng Pasar Atas Kec. Gugak Panjang Kota Bukittinggi,,Non Bank Money Changer Operators,17/2/KEP.GBI/PDG/2015,10/20/2015,KPwBI Provinsi Sumatera Barat,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0975.001/0006,,
PT Arta Jaya Dewata,,"Jl. Raya Uluwatu I No.123, Jimbaran, Badung, Bali",,Non Bank Money Changer Operators,17/13/KEP.GBI/Dpr/2015,10/16/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0972.001/0128,,
PT Adi Surya Dewata,,"Bali Zoo, Jl. Raya Singapadu Br.Seseh Sukawati Kab. Gianyar",,Non Bank Money Changer Operators,17/323/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/15/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0353.004/0071,,
PT Chandra Nuansa Mandiri,,"Jl. Pratama No.68X Tanjung Benoa, Badung, Bali",,Non Bank Money Changer Operators,17/325/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/15/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.024/0025,,
PT Chandra Nuansa Mandiri,,"The Bale Nusa Dua, Jl. Nusa Dua Selatan Kab. Badung, Bali",,Non Bank Money Changer Operators,17/329/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/15/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.027/0025,,
PT Chandra Nuansa Mandiri,,"Grand Istana Rama (PT Rama Palace Cottages), Jl. Pantai Kuta, Badung, Bali",,Non Bank Money Changer Operators,17/326/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/15/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.025/0025,,
PT Dirgahayu Valuta Prima,,"Jl. Uluwatu, Banjar Dinas Bakung Sari, Desa Ungasan, Kec, Kuta Selatan, Badung, Bali",,Non Bank Money Changer Operators,17/322/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/15/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0024.016/0004,,
PT Prawira Valas,,"Jl.Danau Tamblingan No.17, Denpasar, Bali",,Non Bank Money Changer Operators,17/307/KPwBI Provinsi DKI Jakarta/PISP/Dpr,10/6/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0235.008/0027,,
PT Ramah Valuta Jaya,,"Jl. Dharmahusada No. 78 B, Surabaya",,Non Bank Money Changer Operators,17/9/KEP.GBI/Sb/2015,10/5/2015,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0971.001/0042,,
PT Homasindo Sukses Abadi d/h PT Batam Ekspres Utama,,"Komplek Bumi Indah Blok I  No. 21  RT/RW. 004/002, Batam",,Payment Service Provider - License Category 3,17/190/Btm/71,10/2/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0021,,
PT Semangat Anak Rantau,,"Jl. By Pass Ngurah Rai No.17 Ling Br Temacun, Badung, Bali",,Non Bank Money Changer Operators,17/284/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/28/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0977.003/0007,,
PT Prasarana Makmur Valasindo,," Jl. By Pass Ngurah Rai No.300B (SPBU 5480304)Tuban , Kab.Badung, Bali",,Non Bank Money Changer Operators,17/292/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/28/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0470.020/0082,,
PT Chandra Nuansa Mandiri,,"Bintang Kuta Hotel, Jl.Kartika Plaza Kuta Kab.Badung, Bali",,Non Bank Money Changer Operators,17/289/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/28/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.023/0025,,
PT Chandra Nuansa Mandiri,,"Parigata Resort & Spa, Jl. Danau Tamblingan No.87, Denpasar, Bali",,Non Bank Money Changer Operators,17/288/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/28/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.022/0025,,
PT Chandra Nuansa Mandiri,,"Parigata Spa Villa-Sanur, Jl. Danau Poso No.99 Sanur Denpasar, Bali",,Non Bank Money Changer Operators,17/291/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/28/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.020/0025,,
PT Chandra Nuansa Mandiri,,"Parigata Villas Resort, Jl. Duyung No.99 , Denpasar, Bali",,Non Bank Money Changer Operators,17/290/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/28/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.021/0025,,
PT Bali Hastie Indomalaya,,"Jl.Raya Pengosekan Br.Padang Tegal , Badung, Bali",,Non Bank Money Changer Operators,17/293/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/28/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0712.004/0101,,
PT Farel Jaya Valutama,,Pasar Fanindo Blok A2 No. 2B Tanjung Uncang Kel. Tanjung Uncang Kec. Batu Aji Kota Batam,,Non Bank Money Changer Operators,17/13/KEP.GBI/Btm/2015,9/25/2015,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0970.001/0135,,
PT Kasaba Mandiri Valasindo,,"Ruko Pasar Delapan Blok RA No.9, Alam Sutera, Serpong Utara Tangerang Selatan, Banten",,Non Bank Money Changer Operators,17/06/GEB.GBI/Sr/2016,9/17/2015,KPwBI Provinsi Banten,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0968.001/0055,,
PT Eko Jaya Setiawan,,"JL. PANGLIMA SUDIRMAN NO.77, Bangkalan, Jawa Timur",,Non Bank Money Changer Operators,17/8/KEP.GBI/Sb/2015,9/16/2015,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0966.001/0041,,
PT Chandra Nuansa Mandiri,,"Santika Siligita Hotel, Jl. Siligita, Badung, Bali",,Non Bank Money Changer Operators,17/268/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/14/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.018/0025,,
PT Chandra Nuansa Mandiri,,"Jl. Pantai Kuta Br. Pande Mas Kuta, Badung, Bali",,Non Bank Money Changer Operators,17/269/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/14/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.017/0025,,
PT Chandra Nuansa Mandiri,,"Gino Feruci Villa & Spa, Jl. AA Gede Rai Br. Tengah Lodtunduh, Ganyar, Bali",,Non Bank Money Changer Operators,17/270/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/14/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.019/0025,,
PT Perdana Mulia Masrur Valasindo,,"Jl. Parangtritis No. 64, Yogyakarta, DI Yogyakarta",,Non Bank Money Changer Operators,17/271/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/14/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0837.005/0112,,
PT Wijaya Welson Fernando,,"Komplek Nagoya Central Blok A No. 04, Batam",,Payment Service Provider - License Category 3,17/188/Btm/70,9/11/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0045,,
PT Asia Jaya Remindo,,"Batam City Square Mall, LD Blok E7 No. 01&09, Batam",,Payment Service Provider - License Category 3,17/187/Btm/69,9/11/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0032,,
PT Bali Primadana Gemilang,,"Jl. Dewi Sri No. 47B, Badung, Bali",,Non Bank Money Changer Operators,17/261/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/9/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0686.003/0098,,
PT Dinamika Arta Jaya,,"Harco Mangga Dua Elektronik Lt. 3 Blok A No. 103, Jl. Mangga Dua Raya, Jakarta Pusat",,Non Bank Money Changer Operators,17/36/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,9/8/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0932.001/0364,,
PT Chandra Nuansa Mandiri,,"Risata Bali Resort & Spa, Jl. Wana Segara, Badung, Bali",,Non Bank Money Changer Operators,17/252/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,9/1/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.015/0025,,
PT Binavalasindo Dolarasia Sejahtera Utama,,"Jl. Dr. Setiabudi No. 154, RT.002/RW.003, Kel. Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat",,Non Bank Money Changer Operators,17/283/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,8/31/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0746.024/0272,,
PT Bhumi Graha Valas,,"Jl. Muara Karang Blok CC-5 Slt/32, RT.013 RW.017, Kel. Pluit Kec. Penjaringan, Jakarta Utara",,Non Bank Money Changer Operators,17/33/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,8/25/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0924.001/0362,,
PT Buru Jaya Valasindo,,Ruko Tiban Centre Blok J No. 3A Kelurahan Tiban Indah ,,Non Bank Money Changer Operators,17/11/KEP.GBI/Btm/2015,8/24/2015,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0960.001/0133,,
PT Amanah Karya Ahmed,,"Asrama Haji Medan, Jl. A. H. Nasution, Kel. Pangkalan Masyur, Kec. Medan Johor",,Non Bank Money Changer Operators,17/7/KEP.GBI/MDN/2015,8/19/2015,KPwBI Provinsi Sumatera Utara,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0958.001/0049,,
PT Chandra Nuansa Mandiri,,"Royal Kirana  Spa & Wellnes, Jl. Kedewatan Ubud, Kab. Gianyar, bali",,Non Bank Money Changer Operators,17/229/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/18/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.014/0025,,
PT Chandra Nuansa Mandiri,,"Pita Maha Resort & Spa Sanggingan PO Box 198, Gianyar, Bali",,Non Bank Money Changer Operators,17/227/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/18/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.012/0025,,
PT Chandra Nuansa Mandiri,,"Tjampuhan Hotel & Spa Jl. Raya Nyampuhan PO Box198, Gianyar, Bali",,Non Bank Money Changer Operators,17/228/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/18/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.013/0025,,
PT Chandra Nuansa Mandiri,,"Hilton Bali Resort, Jl. Raya Nusa Dua Selatan, Kec. Kuta Selatan, Kab. Badung",,Non Bank Money Changer Operators,17/224/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/18/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.010/0025,,
PT Chandra Nuansa Mandiri,,"Hotel Amandari PO Box 33, Gianyar, Bali",,Non Bank Money Changer Operators,17/225/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/18/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.011/0025,,
PT Untung Nurdiyanti Money Changer,,Jl. TVRI RT.02 Nunukan,,Non Bank Money Changer Operators,17/1/KEP.GBI/SMR/2015,8/18/2015,KPwBI Provinsi Kalimantan Utara,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0957.001/0003,,
PT Tisaga Berkah Valasindo,,"Jl. Bendungan Walahar No. 32, Kel. Bendungan Hilir, Kec. Tanah Abang, Jakarta Pusat",,Non Bank Money Changer Operators,17/32/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,8/14/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0920.001/0361,,
PT Chandra Nuansa Mandiri,,"Rimba Jimbaran Bali, Karang Mas Estate Jl. Karang Mas Sejahtera Jimbaran, Badung, Bali",,Non Bank Money Changer Operators,17/214/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/10/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.006/0025,,
PT Chandra Nuansa Mandiri,,"Mercure Resort Sanur, Jl. Mertasari PO Box 3476, Denpasar, Bali",,Non Bank Money Changer Operators,17/211/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/10/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.004/0025,,
